subject	seq	trial	wordtype	text	transcript	maincode	checktrans
1	1	8	prime	PORT	port	TRUE	
1	2	8	target	DOLL	doll	TRUE	
1	3	9	prime	SCAR	scar	TRUE	
1	4	9	target	CONDO	condo	TRUE	
1	5	10	prime	PASSPORT	passport	TRUE	
1	6	10	target	DINER	diner	TRUE	
1	7	11	prime	ENVELOPE	envelope	TRUE	
1	8	11	target	LETTER	letter	TRUE	
1	9	12	prime	DRIFTER	drifter	TRUE	
1	10	12	target	REFLECTOR	reflector	TRUE	
1	11	13	prime	MONASTERY	monastary	FALSE	
1	12	13	target	CHAPEL	chapel	TRUE	
1	13	14	prime	DECOY	decoy	TRUE	
1	14	14	target	FLAG	flag	TRUE	
1	15	15	prime	FORT	fort	TRUE	
1	16	15	target	WALL	wall	TRUE	
1	17	16	prime	DRESSER	dresser	TRUE	
1	18	16	target	RUG	rug	TRUE	
1	19	17	prime	BANANA	banana	TRUE	
1	20	17	target	SANDWICH	sandwhich	FALSE	
1	21	18	prime	OBJECTIVE	objective	TRUE	
1	22	18	target	HORNET	hornet	TRUE	
1	23	19	prime	CHAIN	chain	TRUE	
1	24	19	target	SIGN	sign	TRUE	
1	25	20	prime	MAGAZINE	magazine	TRUE	
1	26	20	target	NOVEL	novel	TRUE	
1	27	21	prime	LOCKER	locker	TRUE	
1	28	21	target	PEDAL	pedal	TRUE	
1	29	22	prime	PORCH	porch	TRUE	
1	30	22	target	HANDBAG	handbag	TRUE	
1	31	23	prime	RIFLE	rifle	TRUE	
1	32	23	target	TARGET	target	TRUE	
1	33	24	prime	CAR	car	TRUE	
1	34	24	target	RAMP	ramp	TRUE	
1	35	25	prime	ROBIN	robin	TRUE	
1	36	25	target	CHICKEN	chicken	TRUE	
1	37	26	prime	LAYER	layer	TRUE	
1	38	26	target	TRAIL	trail	TRUE	
1	39	27	prime	RAT	rat	TRUE	
1	40	27	target	TRAILER	trailer	TRUE	
1	41	28	prime	RAIL	rail	TRUE	
1	42	28	target	CARPENTER	carpenter	TRUE	
1	43	29	prime	TEST	test	TRUE	
1	44	29	target	LIMB	limb	TRUE	
1	45	30	prime	BUTLER	butler	TRUE	
1	46	30	target	KID	kid	TRUE	
1	47	31	prime	MELON	melon	TRUE	
1	48	31	target	GOLFER	golfer	TRUE	
1	49	32	prime	NECKLACE	necklace	TRUE	
1	50	32	target	FEATHER	feather	TRUE	
1	51	33	prime	SALT	salt	TRUE	
1	52	33	target	CABIN	cabin	TRUE	
1	53	34	prime	ASYLUM	asylum	TRUE	
1	54	34	target	BOWL	bowl	TRUE	
1	55	35	prime	HAMMER	hammr	FALSE	
1	56	35	target	NAIL	nail	TRUE	
1	57	36	prime	ATLAS	atlas	TRUE	
1	58	36	target	JOURNAL	journals	FALSE	
1	59	37	prime	ENTERPRISE	enterprise	TRUE	
1	60	37	target	BUS	bus	TRUE	
1	61	38	prime	DEAL	deal	TRUE	
1	62	38	target	PAGE	page	TRUE	
1	63	39	prime	JAW	jaw	TRUE	
1	64	39	target	RAG	rag	TRUE	
1	65	40	prime	MATADOR	matador	TRUE	
1	66	40	target	STRAINER	strainer	TRUE	
1	67	41	prime	DAM	dam	TRUE	
1	68	41	target	RIVER	river	TRUE	
1	69	42	prime	SUCCESSOR	successor	TRUE	
1	70	42	target	PILLAR	pillar	TRUE	
1	71	43	prime	DRUM	drum	TRUE	
